SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	December 29, 2018	December 28, 2018	December 27, 2018	December 26, 2018	December 21, 2018
Chinese yuan		0.1049200000	0.1046600000	0.1047740000	0.1044970000
Euro		0.8235600000	0.8204650000		0.8227070000
Japanese yen		0.0064875500	0.0064911000	0.0065236800	0.0064795800
U.K. pound		0.9128250000	0.9107540000	0.9131300000	0.9132380000
U.S. dollar		0.7190150000	0.7211610000	0.7204750000	0.7207880000
Algerian dinar		0.0060751400	0.0060903000	0.0060766800	0.0060895800
Australian dollar		0.5069770000	0.5091400000		0.5124800000
Bahrain dinar		1.9122700000	1.9179800000		1.9169900000
Botswana pula		0.0671560000	0.0669237000		0.0671054000
Brazilian real		0.1855910000	0.1833900000	0.1835510000	0.1864190000
Brunei dollar		0.5254040000	0.5252450000	0.5253960000	0.5266990000
Canadian dollar			0.5286720000		0.5313190000
Chilean peso		0.0010335300	0.0010394700	0.0010401100	0.0010474900
Colombian peso		0.0002195460	0.0002192190	0.0002192890	0.0002219950
Czech koruna		0.0319477000	0.0317231000		0.0318173000
Danish krone		0.1102890000	0.1098760000		0.1101790000
Hungarian forint		0.0025593200	0.0025583100		0.0025592500
Icelandic krona		0.0061904000	0.0061822600		0.0060928800
Indian rupee		0.0102748000	0.0102544000	0.0102939000	0.0102916000
Indonesian rupiah		0.0000494440	0.0000495201	0.0000493408	0.0000497782
Iranian rial			0.0000171705	0.0000171542	
Israeli New Shekel		0.1906700000	0.1907330000	0.1909050000	0.1910380000
Kazakhstani tenge		0.0018899600	0.0019223300	0.0019286700	0.0019409900
Korean won		0.0006412330	0.0006406900	0.0006403080	0.0006384870
Kuwaiti dinar		2.3686900000	2.3757600000	2.3750600000	2.3733600000
Libyan dinar		0.5174910000	0.5174910000	0.5174910000	0.5174910000
Malaysian ringgit		0.1730060000	0.1726710000	0.1723830000	0.1724580000
Mauritian rupee		0.0209870000	0.0210591000	0.0210902000	0.0211388000
Mexican peso			0.0366390000	0.0362370000	0.0361705000
Nepalese rupee		0.0063872700	0.0064320500	0.0064202000	0.0064627300
New Zealand dollar		0.4825310000	0.4854860000		0.4881900000
Norwegian krone		0.0825723000	0.0822952000		0.0827436000
Omani rial		1.8700000000	1.8755800000	1.8738000000	1.8746100000
Pakistani rupee		0.0051776100	0.0051929000	0.0051887300	0.0051889400
Peruvian sol			0.2138040000	0.2140450000	0.2150320000
Philippine peso		0.0136373000	0.0135909000		0.0135555000
Polish zloty		0.1914820000	0.1917170000		0.1920670000
Qatari riyal		0.1975320000	0.1981210000	0.1979330000	0.1980190000
