SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	January 14, 2019	January 11, 2019	January 10, 2019	January 09, 2019	January 08, 2019
Chinese yuan		0.1059200000	0.1053660000	0.1050200000	0.1046080000
Euro		0.8241760000	0.8252420000	0.8222870000	0.8209470000
Japanese yen		0.0065924700	0.0066285900	0.0065917400	0.0065993300
U.K. pound		0.9165050000	0.9113070000	0.9140270000	0.9167840000
U.S. dollar		0.7146240000	0.7154240000	0.7178410000	0.7176110000
Algerian dinar		0.0060625500	0.0060677100	0.0060836000	0.0060678600
Australian dollar		0.5159590000	0.5140320000	0.5135430000	0.5116570000
Bahrain dinar		1.9006000000	1.9027200000	1.9091500000	1.9085400000
Botswana pula		0.0681037000	0.0681084000	0.0679795000	0.0678142000
Brazilian real		0.1924390000	0.1940760000	0.1944050000	0.1928960000
Brunei dollar		0.5287240000	0.5296690000	0.5290690000	0.5283540000
Canadian dollar			0.5405950000	0.5429550000	0.5398410000
Chilean peso		0.0010546700	0.0010550600	0.0010554900	0.0010557900
Colombian peso		0.0002278420	0.0002287110	0.0002268240	0.0002236550
Czech koruna		0.0321917000	0.0321959000	0.0320808000	0.0320133000
Danish krone		0.1104160000	0.1105410000	0.1101350000	0.1099530000
Hungarian forint		0.0025614700	0.0025625900	0.0025572300	0.0025569600
Icelandic krona		0.0059646400	0.0060144900	0.0060025200	0.0060435500
Indian rupee		0.0101403000	0.0101459000	0.0101906000	0.0102484000
Indonesian rupiah		0.0000507690	0.0000507645	0.0000508386	0.0000511447
Iranian rial			0.0000170339	0.0000170915	0.0000170860
Israeli New Shekel		0.1945610000	0.1952580000	0.1949600000	0.1940010000
Kazakhstani tenge		0.0019002900	0.0019096800	0.0019151600	0.0019204900
Korean won		0.0006386840	0.0006378600	0.0006399580	0.0006418700
Kuwaiti dinar		2.3612200000	2.3638700000	2.3687200000	2.3679600000
Libyan dinar		0.5174910000	0.5174910000	0.5174910000	0.5174910000
Malaysian ringgit		0.1744690000	0.1746850000	0.1744870000	0.1744740000
Mauritian rupee		0.0209722000	0.0209812000	0.0210207000	0.0209963000
Mexican peso		0.0373687000	0.0373173000	0.0372990000	0.0370899000
Nepalese rupee		0.0063426300	0.0063457900	0.0063904700	0.0064359700
New Zealand dollar		0.4850150000	0.4858440000	0.4840400000	0.4841000000
Norwegian krone		0.0844629000	0.0846465000	0.0841924000	0.0839842000
Omani rial		1.8585800000	1.8606600000	1.8669500000	1.8663500000
Pakistani rupee		0.0051471600	0.0051527100	0.0051700500	0.0051680000
Peruvian sol			0.2141350000	0.2153740000	0.2144040000
Philippine peso		0.0136977000	0.0136594000	0.0136852000	0.0137059000
Polish zloty		0.1916450000	0.1914950000	0.1913780000	0.1910620000
Qatari riyal		0.1963250000	0.1965450000	0.1972090000	0.1971460000
Russian ruble		0.0106793000	0.0107002000	0.0107013000	
Saudi Arabian riyal		0.1905660000	0.1907800000	0.1914240000	0.1913630000
Singapore dollar		0.5287240000	0.5296690000	0.5290690000	0.5283540000
South African rand		0.0517701000	0.0515474000	0.0512932000	0.0512979000
Sri Lankan rupee		0.0039202200	0.0039174300	0.0039340700	0.0039319700
Swedish krona		0.0805800000	0.0805295000	0.0805992000	0.0805969000
Swiss franc		0.7268350000	0.7322660000	0.7318930000	0.7326670000
Thai baht		0.0223915000	0.0224151000	0.0224143000	0.0223932000
Trinidadian dollar		0.1058010000	0.1059100000	0.1065410000	0.1065340000
Tunisian dinar		0.2390610000	0.2385060000	0.2388350000	0.2390440000
U.A.E. dirham		0.1945880000	0.1948060000	0.1954640000	0.1954010000
Uruguayan peso			0.0218497000	0.0220312000	0.0220668000
Bolivar Soberano		0.0009006300	0.0009016380	0.0010213900	0.0010210600

Currency units per SDR(3)

Currency	January 14, 2019	January 11, 2019	January 10, 2019	January 09, 2019	January 08, 2019
Chinese yuan		9.441090	9.490730	9.522000	9.559500
Euro		1.213330	1.211770	1.216120	1.218110
Japanese yen		151.688000	150.862000	151.705000	151.531000
U.K. pound		1.091100	1.097330	1.094060	1.090770
U.S. dollar		1.399340	1.397770	1.393070	1.393510
Algerian dinar		164.947000	164.807000	164.376000	164.803000
Australian dollar		1.938140	1.945400	1.947260	1.954430
Bahrain dinar		0.526150	0.525563	0.523793	0.523961
Botswana pula		14.683500	14.682500	14.710300	14.746200
Brazilian real		5.196450	5.152620	5.143900	5.184140
Brunei dollar		1.891350	1.887970	1.890110	1.892670
Canadian dollar			1.849810	1.841770	1.852400
Chilean peso		948.164000	947.813000	947.427000	947.158000
Colombian peso		4,389.010000	4,372.330000	4,408.700000	4,471.170000
Czech koruna		31.063900	31.059900	31.171300	31.237000
Danish krone		9.056660	9.046420	9.079770	9.094800
Hungarian forint		390.401000	390.230000	391.048000	391.089000
Icelandic krona		167.655000	166.265000	166.597000	165.466000
Indian rupee		98.616400	98.562000	98.129600	97.576200
Indonesian rupiah		19,697.100000	19,698.800000	19,670.100000	19,552.400000
Iranian rial			58,706.500000	58,508.600000	58,527.400000
Israeli New Shekel		5.139780	5.121430	5.129260	5.154610
Kazakhstani tenge		526.235000	523.648000	522.150000	520.700000
Korean won		1,565.720000	1,567.740000	1,562.600000	1,557.950000
Kuwaiti dinar		0.423510	0.423035	0.422169	0.422304
Libyan dinar		1.932400	1.932400	1.932400	1.932400
Malaysian ringgit		5.731680	5.724590	5.731090	5.731510
Mauritian rupee		47.682200	47.661700	47.572200	47.627400
Mexican peso		26.760400	26.797200	26.810400	26.961500
Nepalese rupee		157.663000	157.585000	156.483000	155.377000
New Zealand dollar		2.061790	2.058270	2.065940	2.065690
Norwegian krone		11.839500	11.813800	11.877600	11.907000
Omani rial		0.538045	0.537444	0.535633	0.535805
Pakistani rupee		194.282000	194.073000	193.422000	193.498000
Peruvian sol			4.669950	4.643090	4.664090
Philippine peso		73.005000	73.209700	73.071600	72.961300
Polish zloty		5.217980	5.222070	5.225260	5.233900
Qatari riyal		5.093590	5.087890	5.070760	5.072380
Russian ruble		93.639100	93.456200	93.446600	
Saudi Arabian riyal		5.247530	5.241640	5.224010	5.225670
Singapore dollar		1.891350	1.887970	1.890110	1.892670
South African rand		19.316200	19.399600	19.495800	19.494000
Sri Lankan rupee		255.088000	255.269000	254.190000	254.325000
Swedish krona		12.410000	12.417800	12.407100	12.407400
Swiss franc		1.375830	1.365620	1.366320	1.364880
Thai baht		44.659800	44.612800	44.614400	44.656400
Trinidadian dollar		9.451710	9.441980	9.386060	9.386670
Tunisian dinar		4.183030	4.192770	4.186990	4.183330
U.A.E. dirham		5.139060	5.133310	5.116030	5.117680
